id,不知道,不知道
20,培育,培育
40,幸运,幸運
50,收益,收益
60,属性,屬性
70,时间减免,時間減免
80,消耗减免,消耗減免
90,努力值属性,努力值屬性
100,努力值提升速度,努力值提升速度
110,元素日加成,元素日加成
120,额外收获,額外收穫
130,贩卖收益加成,販賣收益加成
140,配方熟练度,配方熟練度
150,对应物品收获加成,對應物品收穫加成
170,采集收益,採集收益
180,只及以下妖精参与采集，采集收益,只及以下妖精參與採集，採集收益
190,只及以上妖精参与采集，采集收益,只及以上妖精參與採集，採集收益
200,只及以下相同主属性妖精参与采集，采集收益,只及以下相同主屬性妖精參與採集，採集收益
210,只及以上相同主属性妖精参与采集，采集收益,只及以上相同主屬性妖精參與採集，採集收益
220,个及以下种类的妖精参与采集，采集收益,個及以下種類的妖精參與採集，採集收益
230,个及以上种类的妖精参与采集，采集收益,個及以上種類的妖精參與採集，採集收益
800,工坊,工坊
810,学院,學院
820,教堂,教堂
830,行会,行會
840,商店,商店
850,裁缝,裁縫
860,村镇,村鎮
870,酒馆,酒館
880,营地,營地
890,商船,商船
900,广场,廣場
1000,派遣队伍,派遣隊伍
1001,开始采集{1}{0}次,開始採集{1}{0}次
1010,最高属性,最高屬性
1011,妖精列表中的有妖精最高{1}达到{0},妖精列表中的有妖精最高{1}達到{0}
1020,最低属性,最低屬性
1021,妖精列表中任意妖精的{1}不低于{0},妖精列表中任意妖精的{1}不低於{0}
1030,拥有道具,擁有道具
1031,至少拥有{0}个{1},至少擁有{0}個{1}
1040,完成委托,完成委託
1041,完成「主线—{2}」,完成「主線—{2}」
1050,妖精总等级,妖精總等級
1051,拥有的所有妖精等级之和达到{0},擁有的所有妖精等級之和達到{0}
1060,妖精最高等级,妖精最高等級
1061,拥有的所有妖精最高等级达到{0},擁有的所有妖精最高等級達到{0}
1070,妖精最低等级,妖精最低等級
1071,拥有的所有妖精最低等级不低于{0},擁有的所有妖精最低等級不低於{0}
1080,消耗道具,消耗道具
1081,播下{0}个{1},播下{0}個{1}
1090,主角等级,主角等級
1091,工坊影响力达到{0},工坊影響力達到{0}
1100,完全通过地图,完全通過地圖
1101,采集{1}达到{0}次,採集{1}達到{0}次
1110,播种,播種
1111,手动播种{0}次,手動播種{0}次
1120,交付道具,交付道具
1121,交付{0}个{1},交付{0}個{1}
1130,指定种类的罐子达到对应等级,指定種類的罐子達到對應等級
1131,拥有一个等级为{0}的{1},擁有一個等級為{0}的{1}
1140,指定妖精到达对应等级,指定妖精到達對應等級
1141,{1}等级达到{0},{1}等級達到{0}
1150,收获次数,收穫次數
1151,手动收获{0}次,手動收穫{0}次
1160,普通炼金次数,普通鍊金次數
1161,进行炼金{0}次,進行鍊金{0}次
1170,妖精数量,妖精數量
1171,雇佣{0}个妖精,雇傭{0}個妖精
1180,随机委托次数,隨機委託次數
1181,完成{0}个随机委托,完成{0}個隨機委託
1190,抽卡次数,抽卡次數
